		Sample ID	Filename	File Size	Release	Haplotype	AWS FASTA	Biosample Accession	Family ID	FASTA MD5	FASTA SHA-256	Population Abbreviation	Population Descriptor
		HG01150	HG01150_mat_hprc_r2_v1.0.1.fa.gz	901304876	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01150/assemblies/freeze_2/HG01150_mat_hprc_r2_v1.0.1.fa.gz	SAMN37797097	CLM12	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01150/assemblies/freeze_2/HG01150_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01150	HG01150_pat_hprc_r2_v1.0.1.fa.gz	901308154	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01150/assemblies/freeze_2/HG01150_pat_hprc_r2_v1.0.1.fa.gz	SAMN37797097	CLM12	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01150/assemblies/freeze_2/HG01150_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01167	HG01167_hap2_hprc_r2_v1.0.1.fa.gz	899289683	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01167/assemblies/freeze_2/HG01167_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021679	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01167/assemblies/freeze_2/HG01167_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	PUR	Puerto Rican in Puerto Rico
		HG01167	HG01167_hap1_hprc_r2_v1.0.1.fa.gz	872064211	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01167/assemblies/freeze_2/HG01167_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021679	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01167/assemblies/freeze_2/HG01167_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	PUR	Puerto Rican in Puerto Rico
		HG01175	HG01175.maternal.f1_assembly_v2_genbank.fa.gz	873331720	1	maternal	s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/HG01175.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861659	PR36	N/A	4023f8a4eac5fd0705d54278b674a7b3ddadbaec391e8fedd403aeb691f8a703	PUR	Puerto Rican in Puerto Rico
		HG01175	HG01175_mat_hprc_r2_v1.0.1.fa.gz	902777628	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01175/assemblies/freeze_2/HG01175_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861659	PR36	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01175/assemblies/freeze_2/HG01175_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PUR	Puerto Rican in Puerto Rico
		HG01175	HG01175.paternal.f1_assembly_v2_genbank.fa.gz	873980224	1	paternal	s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/HG01175.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861659	PR36	N/A	0e7aab966b1c54f094d3d6a91db741ac230840fe87a987322f372f0dcb7f2977	PUR	Puerto Rican in Puerto Rico
		HG01175	HG01175_pat_hprc_r2_v1.0.1.fa.gz	901192387	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01175/assemblies/freeze_2/HG01175_pat_hprc_r2_v1.0.1.fa.gz	SAMN17861659	PR36	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01175/assemblies/freeze_2/HG01175_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PUR	Puerto Rican in Puerto Rico
		HG01192	HG01192_mat_hprc_r2_v1.0.1.fa.gz	901422883	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_mat_hprc_r2_v1.0.1.fa.gz	SAMN33621945	PR40	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PUR	Puerto Rican in Puerto Rico
		HG01192	HG01192_pat_hprc_r2_v1.0.1.fa.gz	864426982	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz	SAMN33621945	PR40	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PUR	Puerto Rican in Puerto Rico
		HG01243	HG01243.maternal.f1_assembly_v2_genbank.fa.gz	873794236	1	maternal	s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/HG01243.maternal.f1_assembly_v2_genbank.fa.gz	SAMN13957917	Unspecified	N/A	8052aba721d0d48d65ecaae0abdd1fa4584a85cdde414eb3b4f040afec95c3e4	PUR	Puerto Rican in Puerto Rico
		HG01243	HG01243_mat_hprc_r2_v1.0.1.fa.gz	899992169	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01243/assemblies/freeze_2/HG01243_mat_hprc_r2_v1.0.1.fa.gz	SAMN13957917	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01243/assemblies/freeze_2/HG01243_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PUR	Puerto Rican in Puerto Rico
		HG01243	HG01243.paternal.f1_assembly_v2_genbank.fa.gz	836831491	1	paternal	s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/HG01243.paternal.f1_assembly_v2_genbank.fa.gz	SAMN13957917	Unspecified	N/A	027f37f22639891d94363b810eb3e07614b9a40672c0096370171108110dcadc	PUR	Puerto Rican in Puerto Rico
		HG01243	HG01243_pat_hprc_r2_v1.0.1.fa.gz	864674674	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01243/assemblies/freeze_2/HG01243_pat_hprc_r2_v1.0.1.fa.gz	SAMN13957917	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01243/assemblies/freeze_2/HG01243_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PUR	Puerto Rican in Puerto Rico
		HG01252	HG01252_mat_hprc_r2_v1.0.1.fa.gz	901845315	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01252/assemblies/freeze_2/HG01252_mat_hprc_r2_v1.0.1.fa.gz	SAMN37797098	CLM14	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01252/assemblies/freeze_2/HG01252_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01252	HG01252_pat_hprc_r2_v1.0.1.fa.gz	865910208	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01252/assemblies/freeze_2/HG01252_pat_hprc_r2_v1.0.1.fa.gz	SAMN37797098	CLM14	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01252/assemblies/freeze_2/HG01252_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01255	HG01255_mat_hprc_r2_v1.0.1.fa.gz	901535826	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01255/assemblies/freeze_2/HG01255_mat_hprc_r2_v1.0.1.fa.gz	SAMN26237495	CLM15	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01255/assemblies/freeze_2/HG01255_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01255	HG01255_pat_hprc_r2_v1.0.1.fa.gz	866252775	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01255/assemblies/freeze_2/HG01255_pat_hprc_r2_v1.0.1.fa.gz	SAMN26237495	CLM15	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01255/assemblies/freeze_2/HG01255_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01258	HG01258.maternal.f1_assembly_v2_genbank.fa.gz	875284150	1	maternal	s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/HG01258.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861233	CLM16	N/A	97e8ece8b4a108be376025747d377f003270dadebcc84e4116d322a72618769a	CLM	Colombian in Medellin, Colombia
		HG01258	HG01258_mat_hprc_r2_v1.0.1.fa.gz	902740371	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01258/assemblies/freeze_2/HG01258_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861233	CLM16	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01258/assemblies/freeze_2/HG01258_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01258	HG01258.paternal.f1_assembly_v2_genbank.fa.gz	837715371	1	paternal	s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/HG01258.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861233	CLM16	N/A	e7697b1b7c2a4188f76d827611caa3a1b55b499d7c8bfab69c091a07a30e0c2c	CLM	Colombian in Medellin, Colombia
		HG01258	HG01258_pat_hprc_r2_v1.0.1.fa.gz	863574535	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01258/assemblies/freeze_2/HG01258_pat_hprc_r2_v1.0.1.fa.gz	SAMN17861233	CLM16	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01258/assemblies/freeze_2/HG01258_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01261	HG01261_mat_hprc_r2_v1.0.1.fa.gz	903439743	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_mat_hprc_r2_v1.0.1.fa.gz	SAMN33621946	CLM17	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01261	HG01261_pat_hprc_r2_v1.0.1.fa.gz	864055693	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz	SAMN33621946	CLM17	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01346	HG01346_mat_hprc_r2_v1.0.1.fa.gz	901949329	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01346/assemblies/freeze_2/HG01346_mat_hprc_r2_v1.0.1.fa.gz	SAMN26267379	CLM27	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01346/assemblies/freeze_2/HG01346_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01346	HG01346_pat_hprc_r2_v1.0.1.fa.gz	903480409	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01346/assemblies/freeze_2/HG01346_pat_hprc_r2_v1.0.1.fa.gz	SAMN26267379	CLM27	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01346/assemblies/freeze_2/HG01346_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01358	HG01358.maternal.f1_assembly_v2_genbank.fa.gz	874131501	1	maternal	s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/HG01358.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861234	CLM31	N/A	3ab91edde9c57f2d0a9238b161122cdaeb48bb87030abe7d33ac9803a7203ac1	CLM	Colombian in Medellin, Colombia
		HG01358	HG01358_mat_hprc_r2_v1.0.1.fa.gz	901504193	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01358/assemblies/freeze_2/HG01358_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861234	CLM31	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01358/assemblies/freeze_2/HG01358_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01358	HG01358.paternal.f1_assembly_v2_genbank.fa.gz	840486619	1	paternal	s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/HG01358.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861234	CLM31	N/A	b4ebe059741876e76ea43633a499e6dafb06d8876cb5f496ddd60f83e905e3d0	CLM	Colombian in Medellin, Colombia
		HG01358	HG01358_pat_hprc_r2_v1.0.1.fa.gz	867526125	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01358/assemblies/freeze_2/HG01358_pat_hprc_r2_v1.0.1.fa.gz	SAMN17861234	CLM31	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01358/assemblies/freeze_2/HG01358_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01361	HG01361.maternal.f1_assembly_v2_genbank.fa.gz	872962083	1	maternal	s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/HG01361.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861235	CLM32	N/A	1c5a60c6bdb77177c701448da5040a1dfc47b9c57dbf53b12a081789033ce47f	CLM	Colombian in Medellin, Colombia
		HG01361	HG01361_mat_hprc_r2_v1.0.1.fa.gz	901557644	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01361/assemblies/freeze_2/HG01361_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861235	CLM32	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01361/assemblies/freeze_2/HG01361_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01361	HG01361.paternal.f1_assembly_v2_genbank.fa.gz	871724920	1	paternal	s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/HG01361.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861235	CLM32	N/A	01c848260b6414e260a31eb637a7a0f251d123d578188286fc9dcb3026ddb14a	CLM	Colombian in Medellin, Colombia
		HG01361	HG01361_pat_hprc_r2_v1.0.1.fa.gz	900600493	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01361/assemblies/freeze_2/HG01361_pat_hprc_r2_v1.0.1.fa.gz	SAMN17861235	CLM32	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01361/assemblies/freeze_2/HG01361_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01433	HG01433_mat_hprc_r2_v1.0.1.fa.gz	901926673	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01433/assemblies/freeze_2/HG01433_mat_hprc_r2_v1.0.1.fa.gz	SAMN26237496	CLM43	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01433/assemblies/freeze_2/HG01433_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01433	HG01433_pat_hprc_r2_v1.0.1.fa.gz	870627108	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01433/assemblies/freeze_2/HG01433_pat_hprc_r2_v1.0.1.fa.gz	SAMN26237496	CLM43	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01433/assemblies/freeze_2/HG01433_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01496	HG01496_mat_hprc_r2_v1.0.1.fa.gz	901189549	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01496/assemblies/freeze_2/HG01496_mat_hprc_r2_v1.0.1.fa.gz	SAMN26237497	CLM64	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01496/assemblies/freeze_2/HG01496_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01496	HG01496_pat_hprc_r2_v1.0.1.fa.gz	904568456	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01496/assemblies/freeze_2/HG01496_pat_hprc_r2_v1.0.1.fa.gz	SAMN26237497	CLM64	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01496/assemblies/freeze_2/HG01496_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	CLM	Colombian in Medellin, Colombia
		HG01530	HG01530_hap2_hprc_r2_v1.0.1.fa.gz	901709534	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01530/assemblies/freeze_2/HG01530_hap2_hprc_r2_v1.0.1.fa.gz	SAMN37797099	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01530/assemblies/freeze_2/HG01530_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	IBS	Iberian Populations in Spain
		HG01530	HG01530_hap1_hprc_r2_v1.0.1.fa.gz	865982460	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01530/assemblies/freeze_2/HG01530_hap1_hprc_r2_v1.0.1.fa.gz	SAMN37797099	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01530/assemblies/freeze_2/HG01530_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	IBS	Iberian Populations in Spain
		HG01784	HG01784_hap2_hprc_r2_v1.0.1.fa.gz	900771714	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01784/assemblies/freeze_2/HG01784_hap2_hprc_r2_v1.0.1.fa.gz	SAMN37797100	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01784/assemblies/freeze_2/HG01784_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	IBS	Iberian Populations in Spain
		HG01784	HG01784_hap1_hprc_r2_v1.0.1.fa.gz	903543397	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01784/assemblies/freeze_2/HG01784_hap1_hprc_r2_v1.0.1.fa.gz	SAMN37797100	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01784/assemblies/freeze_2/HG01784_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	IBS	Iberian Populations in Spain
		HG01786	HG01786_hap2_hprc_r2_v1.0.1.fa.gz	903178614	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap2_hprc_r2_v1.0.1.fa.gz	SAMN41021633	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	IBS	Iberian Populations in Spain
		HG01786	HG01786_hap1_hprc_r2_v1.0.1.fa.gz	902046266	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap1_hprc_r2_v1.0.1.fa.gz	SAMN41021633	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	IBS	Iberian Populations in Spain
		HG01884	HG01884_mat_hprc_r2_v1.0.1.fa.gz	905673769	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01884/assemblies/freeze_2/HG01884_mat_hprc_r2_v1.0.1.fa.gz	SAMN26267393	BB03	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01884/assemblies/freeze_2/HG01884_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	ACB	African Caribbean in Barbados
		HG01884	HG01884_pat_hprc_r2_v1.0.1.fa.gz	903365889	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01884/assemblies/freeze_2/HG01884_pat_hprc_r2_v1.0.1.fa.gz	SAMN26267393	BB03	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01884/assemblies/freeze_2/HG01884_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	ACB	African Caribbean in Barbados
		HG01891	HG01891.maternal.f1_assembly_v2_genbank.fa.gz	873552118	1	maternal	s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/HG01891.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861236	BB05	N/A	9c439c0e28fa9b9e2a515ea75adaef8e156460851aa91f61dc065c29897f5ea2	ACB	African Caribbean in Barbados
		HG01891	HG01891_mat_hprc_r2_v1.0.1.fa.gz	900073179	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01891/assemblies/freeze_2/HG01891_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861236	BB05	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01891/assemblies/freeze_2/HG01891_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	ACB	African Caribbean in Barbados
		HG01891	HG01891.paternal.f1_assembly_v2_genbank.fa.gz	877016090	1	paternal	s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/HG01891.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861236	BB05	N/A	9d9aa8e29e2fd24fd890aa1308dc13fb54acd8bec91d6ae0ddeefd5b2ba333c0	ACB	African Caribbean in Barbados
		HG01891	HG01891_pat_hprc_r2_v1.0.1.fa.gz	902457434	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01891/assemblies/freeze_2/HG01891_pat_hprc_r2_v1.0.1.fa.gz	SAMN17861236	BB05	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01891/assemblies/freeze_2/HG01891_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	ACB	African Caribbean in Barbados
		HG01928	HG01928.maternal.f1_assembly_v2_genbank.fa.gz	872630516	1	maternal	s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/HG01928.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861660	PEL011	N/A	58fc6831a094299d6913b7d24b495790e70195badddec4a2ade405f63c24b4cf	PEL	Peruvian in Lima, Peru
		HG01928	HG01928_mat_hprc_r2_v1.0.1.fa.gz	901185853	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01928/assemblies/freeze_2/HG01928_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861660	PEL011	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01928/assemblies/freeze_2/HG01928_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PEL	Peruvian in Lima, Peru
		HG01928	HG01928.paternal.f1_assembly_v2_genbank.fa.gz	838739069	1	paternal	s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/HG01928.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861660	PEL011	N/A	f394a6900c6ba13bb2b9e91ac3d2dcc4863fa5d1fc5a6c0cf8241c6889a01afd	PEL	Peruvian in Lima, Peru
